geoid,category,age_bin,year,combined_count,ed_count,inp_count
34007606600,EF,65+,2019,<5,<5,0
34007606700,EF,65+,2019,<5,<5,<5
34007606800,EF,65+,2019,<5,<5,<5
34007607000,EF,65+,2019,<5,<5,<5
34007607100,EF,65+,2019,<5,<5,0
34007607200,EF,65+,2019,<5,<5,<5
34007607300,EF,65+,2019,<5,0,<5
34007607401,EF,65+,2019,<5,<5,0
34007607402,EF,65+,2019,<5,0,<5
34007607502,EF,65+,2019,11,6,5
34007607503,EF,65+,2019,<5,0,<5
34007607504,EF,65+,2019,<5,0,<5
34007607505,EF,65+,2019,<5,<5,<5
34007607507,EF,65+,2019,<5,0,<5
34007607600,EF,65+,2019,<5,<5,0
34007607701,EF,65+,2019,<5,0,<5
34007607801,EF,65+,2019,<5,<5,<5
34007607802,EF,65+,2019,<5,<5,<5
34007608202,EF,65+,2019,<5,0,<5
34007608205,EF,65+,2019,<5,0,<5
34007608206,EF,65+,2019,<5,<5,<5
34007608210,EF,65+,2019,<5,0,<5
34007608211,EF,65+,2019,<5,<5,0
34007608302,EF,65+,2019,6,<5,5
34007608303,EF,65+,2019,<5,0,<5
34007608304,EF,65+,2019,<5,<5,0
34007608401,EF,65+,2019,<5,0,<5
34007608402,EF,65+,2019,<5,<5,0
34007608403,EF,65+,2019,<5,0,<5
34007608404,EF,65+,2019,<5,0,<5
34007608504,EF,65+,2019,<5,<5,<5
34007608600,EF,65+,2019,<5,<5,0
34007608700,EF,65+,2019,6,<5,<5
34007608800,EF,65+,2019,<5,<5,0
34007608901,EF,65+,2019,<5,0,<5
34007608903,EF,65+,2019,<5,0,<5
34007609000,EF,65+,2019,<5,0,<5
34007609103,EF,65+,2019,7,<5,6
34007609201,EF,65+,2019,<5,0,<5
34007609202,EF,65+,2019,<5,<5,<5
34007609204,EF,65+,2019,<5,0,<5
34007610300,EF,65+,2019,<5,<5,0
34007610400,EF,65+,2019,<5,<5,0
34007610500,EF,65+,2019,<5,<5,0
34007610600,EF,65+,2019,<5,<5,<5
34007610800,EF,65+,2019,<5,0,<5
34007610900,EF,65+,2019,<5,<5,0
34007611000,EF,65+,2019,6,<5,<5
34007611100,EF,65+,2019,<5,<5,0
34007611200,EF,65+,2019,<5,0,<5
34007611300,EF,65+,2019,<5,<5,<5
34007611600,EF,65+,2019,<5,<5,0
34007611700,EF,65+,2019,<5,<5,0
34007600200,GAD,18-64,2019,41,30,14
34007600400,GAD,18-64,2019,51,47,5
34007600700,GAD,18-64,2019,23,22,<5
34007600800,GAD,18-64,2019,81,68,18
34007600900,GAD,18-64,2019,35,30,6
34007601000,GAD,18-64,2019,50,44,6
34007601101,GAD,18-64,2019,28,26,<5
34007601102,GAD,18-64,2019,55,44,17
34007601200,GAD,18-64,2019,67,57,10
34007601300,GAD,18-64,2019,69,54,18
34007601400,GAD,18-64,2019,56,47,14
34007601500,GAD,18-64,2019,95,81,21
34007601600,GAD,18-64,2019,39,29,12
34007601700,GAD,18-64,2019,53,42,17
34007601800,GAD,18-64,2019,19,17,<5
34007601900,GAD,18-64,2019,39,33,8
34007602000,GAD,18-64,2019,108,92,19
34007602503,GAD,18-64,2019,20,13,8
34007602601,GAD,18-64,2019,21,15,7
34007602602,GAD,18-64,2019,27,17,13
34007602901,GAD,18-64,2019,43,25,20
34007602902,GAD,18-64,2019,30,23,8
34007603001,GAD,18-64,2019,30,23,9
34007603002,GAD,18-64,2019,39,32,10
34007603100,GAD,18-64,2019,27,25,<5
34007603200,GAD,18-64,2019,42,23,24
34007603301,GAD,18-64,2019,32,23,13
34007603302,GAD,18-64,2019,32,27,7
34007603303,GAD,18-64,2019,17,10,7
34007603400,GAD,18-64,2019,27,19,14
34007603501,GAD,18-64,2019,19,15,<5
34007603503,GAD,18-64,2019,10,7,<5
34007603504,GAD,18-64,2019,9,7,<5
34007603505,GAD,18-64,2019,81,70,16
34007603506,GAD,18-64,2019,16,11,6
34007603507,GAD,18-64,2019,14,12,<5
34007603601,GAD,18-64,2019,22,12,10
34007603602,GAD,18-64,2019,8,5,<5
34007603603,GAD,18-64,2019,9,7,<5
34007603700,GAD,18-64,2019,30,27,<5
34007603800,GAD,18-64,2019,45,26,23
34007603901,GAD,18-64,2019,26,18,11
34007603902,GAD,18-64,2019,22,15,7
34007604100,GAD,18-64,2019,40,29,13
34007604200,GAD,18-64,2019,33,27,9
34007604300,GAD,18-64,2019,37,32,7
34007604400,GAD,18-64,2019,21,17,5
34007604600,GAD,18-64,2019,30,22,10
34007604700,GAD,18-64,2019,8,7,<5
34007605100,GAD,18-64,2019,26,21,5
34007605200,GAD,18-64,2019,12,9,<5
34007605300,GAD,18-64,2019,13,8,5
34007605400,GAD,18-64,2019,24,20,5
34007605602,GAD,18-64,2019,20,16,6
34007605700,GAD,18-64,2019,18,12,6
34007605800,GAD,18-64,2019,13,12,<5
34007605900,GAD,18-64,2019,15,12,5
34007606000,GAD,18-64,2019,10,8,<5
34007606100,GAD,18-64,2019,7,5,<5
34007606200,GAD,18-64,2019,10,6,5
34007606300,GAD,18-64,2019,7,5,<5
34007606400,GAD,18-64,2019,5,<5,<5
34007606500,GAD,18-64,2019,34,19,18
34007606600,GAD,18-64,2019,7,<5,5
34007606700,GAD,18-64,2019,38,21,21
34007606800,GAD,18-64,2019,23,18,5
34007607000,GAD,18-64,2019,42,32,11
34007607100,GAD,18-64,2019,20,11,11
34007607200,GAD,18-64,2019,43,21,23
34007607300,GAD,18-64,2019,31,21,13
34007607401,GAD,18-64,2019,28,11,17
34007607402,GAD,18-64,2019,23,13,12
34007607502,GAD,18-64,2019,32,24,11
34007607503,GAD,18-64,2019,27,16,12
34007607504,GAD,18-64,2019,7,6,<5
34007607505,GAD,18-64,2019,5,5,0
34007607506,GAD,18-64,2019,15,6,9
34007607507,GAD,18-64,2019,30,19,13
34007607600,GAD,18-64,2019,11,6,6
34007607701,GAD,18-64,2019,60,42,23
34007607702,GAD,18-64,2019,39,24,18
34007607801,GAD,18-64,2019,58,36,27
34007607802,GAD,18-64,2019,22,13,11
34007607900,GAD,18-64,2019,10,6,6
34007608001,GAD,18-64,2019,30,16,14
34007608202,GAD,18-64,2019,29,17,14
34007608205,GAD,18-64,2019,13,<5,9
34007608206,GAD,18-64,2019,19,8,12
34007608209,GAD,18-64,2019,29,19,12
34007608210,GAD,18-64,2019,35,17,18
34007608211,GAD,18-64,2019,46,30,21
34007608302,GAD,18-64,2019,45,26,22
34007608303,GAD,18-64,2019,25,11,16
34007608304,GAD,18-64,2019,39,19,20
34007608401,GAD,18-64,2019,28,13,15
34007608402,GAD,18-64,2019,11,8,<5
34007608403,GAD,18-64,2019,44,25,19
34007608404,GAD,18-64,2019,33,14,19
34007608503,GAD,18-64,2019,27,18,12
34007608504,GAD,18-64,2019,44,28,19
34007608600,GAD,18-64,2019,44,29,21
34007608700,GAD,18-64,2019,35,20,15
34007608800,GAD,18-64,2019,29,18,13
34007608901,GAD,18-64,2019,35,21,14
34007608903,GAD,18-64,2019,18,10,10
34007608904,GAD,18-64,2019,10,7,<5
34007609000,GAD,18-64,2019,11,5,6
34007609103,GAD,18-64,2019,27,20,9
34007609201,GAD,18-64,2019,25,13,12
34007609202,GAD,18-64,2019,42,26,19
34007609203,GAD,18-64,2019,43,28,18
34007609204,GAD,18-64,2019,37,21,17
34007609205,GAD,18-64,2019,18,13,7
34007610300,GAD,18-64,2019,15,12,5
34007610400,GAD,18-64,2019,110,88,33
34007610500,GAD,18-64,2019,57,43,18
34007610600,GAD,18-64,2019,17,6,11
34007610800,GAD,18-64,2019,50,35,20
34007610900,GAD,18-64,2019,23,17,7
34007611000,GAD,18-64,2019,79,58,26
34007611100,GAD,18-64,2019,26,21,7
34007611200,GAD,18-64,2019,46,27,22
34007611300,GAD,18-64,2019,26,18,9
34007611400,GAD,18-64,2019,45,31,17
34007611500,GAD,18-64,2019,6,<5,<5
34007611600,GAD,18-64,2019,66,52,21
34007611700,GAD,18-64,2019,31,26,6
34007600200,GAD,65+,2019,8,6,<5
34007600400,GAD,65+,2019,<5,<5,<5
34007600700,GAD,65+,2019,<5,<5,<5
34007600800,GAD,65+,2019,19,8,14
34007600900,GAD,65+,2019,<5,<5,<5
34007601000,GAD,65+,2019,5,<5,<5
34007601101,GAD,65+,2019,<5,<5,<5
34007601102,GAD,65+,2019,15,9,8
34007601200,GAD,65+,2019,13,6,8
34007601300,GAD,65+,2019,12,6,6
34007601400,GAD,65+,2019,14,9,8
34007601500,GAD,65+,2019,12,6,7
34007601600,GAD,65+,2019,<5,<5,<5
34007601700,GAD,65+,2019,8,7,<5
34007601800,GAD,65+,2019,<5,0,<5
34007601900,GAD,65+,2019,<5,<5,<5
34007602000,GAD,65+,2019,<5,<5,<5
34007602503,GAD,65+,2019,<5,<5,<5
34007602601,GAD,65+,2019,6,<5,<5
34007602602,GAD,65+,2019,<5,<5,0
34007602901,GAD,65+,2019,20,6,15
34007602902,GAD,65+,2019,6,<5,<5
34007603001,GAD,65+,2019,15,6,10
34007603002,GAD,65+,2019,10,5,6
34007603100,GAD,65+,2019,8,<5,6
34007603200,GAD,65+,2019,39,12,31
34007603301,GAD,65+,2019,28,7,22
34007603302,GAD,65+,2019,22,5,18
34007603303,GAD,65+,2019,15,<5,13
34007603400,GAD,65+,2019,36,10,29
34007603501,GAD,65+,2019,7,5,<5
34007603503,GAD,65+,2019,<5,<5,<5
34007603504,GAD,65+,2019,<5,<5,<5
34007603505,GAD,65+,2019,<5,<5,<5
34007603506,GAD,65+,2019,5,0,5
34007603507,GAD,65+,2019,<5,<5,<5
34007603601,GAD,65+,2019,23,5,19
34007603602,GAD,65+,2019,<5,0,<5
34007603603,GAD,65+,2019,<5,<5,<5
34007603700,GAD,65+,2019,19,<5,18
34007603800,GAD,65+,2019,8,5,5
34007603901,GAD,65+,2019,21,5,16
