geoid,category,age_bin,year,combined_count,ed_count,inp_count
34007603303,EB,18-64,2021,<5,<5,0
34007603303,EB,18-64,2022,<5,<5,0
34007603303,EB,18-64,2023,<5,<5,0
34007603303,EB,18-64,2024,10,9,<5
34007603400,EB,18-64,2017,15,12,6
34007603400,EB,18-64,2018,12,11,<5
34007603400,EB,18-64,2019,10,7,<5
34007603400,EB,18-64,2020,9,8,<5
34007603400,EB,18-64,2021,17,11,6
34007603400,EB,18-64,2022,13,10,<5
34007603400,EB,18-64,2023,10,6,5
34007603400,EB,18-64,2024,17,14,6
34007603501,EB,18-64,2017,9,7,<5
34007603501,EB,18-64,2018,<5,<5,0
34007603501,EB,18-64,2019,6,5,<5
34007603501,EB,18-64,2020,<5,<5,0
34007603501,EB,18-64,2021,5,5,<5
34007603501,EB,18-64,2022,6,5,<5
34007603501,EB,18-64,2023,7,7,<5
34007603501,EB,18-64,2024,5,<5,<5
34007603503,EB,18-64,2017,<5,<5,<5
34007603503,EB,18-64,2018,<5,<5,0
34007603503,EB,18-64,2019,<5,<5,<5
34007603503,EB,18-64,2020,5,<5,<5
34007603503,EB,18-64,2021,5,<5,<5
34007603503,EB,18-64,2022,<5,<5,0
34007603503,EB,18-64,2023,<5,<5,0
34007603503,EB,18-64,2024,<5,<5,<5
34007603504,EB,18-64,2017,<5,<5,0
34007603504,EB,18-64,2018,<5,<5,<5
34007603504,EB,18-64,2019,6,5,<5
34007603504,EB,18-64,2020,<5,<5,0
34007603504,EB,18-64,2021,<5,<5,<5
34007603504,EB,18-64,2022,<5,<5,<5
34007603504,EB,18-64,2023,<5,<5,<5
34007603504,EB,18-64,2024,<5,<5,0
34007603505,EB,18-64,2017,19,15,6
34007603505,EB,18-64,2018,33,19,15
34007603505,EB,18-64,2019,42,36,13
34007603505,EB,18-64,2020,37,31,9
34007603505,EB,18-64,2021,31,27,10
34007603505,EB,18-64,2022,34,23,14
34007603505,EB,18-64,2023,47,30,24
34007603505,EB,18-64,2024,48,30,25
34007603506,EB,18-64,2017,6,6,<5
34007603506,EB,18-64,2018,<5,<5,0
34007603506,EB,18-64,2019,8,7,<5
34007603506,EB,18-64,2020,5,<5,<5
34007603506,EB,18-64,2021,<5,<5,<5
34007603506,EB,18-64,2022,5,<5,<5
34007603506,EB,18-64,2023,7,7,<5
34007603506,EB,18-64,2024,7,5,<5
34007603507,EB,18-64,2017,<5,<5,0
34007603507,EB,18-64,2018,5,5,<5
34007603507,EB,18-64,2019,8,7,<5
34007603507,EB,18-64,2020,11,9,<5
34007603507,EB,18-64,2021,10,8,<5
34007603507,EB,18-64,2022,10,9,<5
34007603507,EB,18-64,2023,7,<5,7
34007603507,EB,18-64,2024,6,<5,<5
34007603601,EB,18-64,2017,15,10,7
34007603601,EB,18-64,2018,21,13,11
34007603601,EB,18-64,2019,13,8,9
34007603601,EB,18-64,2020,10,5,8
34007603601,EB,18-64,2021,10,6,5
34007603601,EB,18-64,2022,7,6,<5
34007603601,EB,18-64,2023,6,<5,<5
34007603601,EB,18-64,2024,<5,<5,<5
34007603602,EB,18-64,2017,<5,<5,0
34007603602,EB,18-64,2018,<5,0,<5
34007603602,EB,18-64,2019,5,<5,<5
34007603602,EB,18-64,2020,<5,<5,<5
34007603602,EB,18-64,2021,<5,<5,0
34007603602,EB,18-64,2022,<5,<5,0
34007603602,EB,18-64,2023,<5,<5,<5
34007603602,EB,18-64,2024,<5,<5,<5
34007603603,EB,18-64,2017,<5,<5,0
34007603603,EB,18-64,2018,<5,0,<5
34007603603,EB,18-64,2019,<5,<5,<5
34007603603,EB,18-64,2020,<5,<5,<5
34007603603,EB,18-64,2021,<5,0,<5
34007603603,EB,18-64,2022,<5,<5,<5
34007603603,EB,18-64,2023,5,5,<5
34007603603,EB,18-64,2024,<5,<5,<5
34007603700,EB,18-64,2017,13,12,<5
34007603700,EB,18-64,2018,12,11,<5
34007603700,EB,18-64,2019,13,11,<5
34007603700,EB,18-64,2020,15,14,<5
34007603700,EB,18-64,2021,5,<5,<5
34007603700,EB,18-64,2022,14,13,<5
34007603700,EB,18-64,2023,8,7,<5
34007603700,EB,18-64,2024,9,8,<5
34007603800,EB,18-64,2017,8,7,<5
34007603800,EB,18-64,2018,6,<5,<5
34007603800,EB,18-64,2019,<5,<5,0
34007603800,EB,18-64,2020,<5,0,<5
34007603800,EB,18-64,2021,5,5,<5
34007603800,EB,18-64,2022,<5,<5,<5
34007603800,EB,18-64,2023,<5,<5,<5
34007603800,EB,18-64,2024,11,7,<5
34007603901,EB,18-64,2017,7,7,0
34007603901,EB,18-64,2018,<5,<5,0
34007603901,EB,18-64,2019,<5,<5,<5
34007603901,EB,18-64,2020,<5,<5,0
34007603901,EB,18-64,2021,<5,0,<5
34007603901,EB,18-64,2022,6,6,0
34007603901,EB,18-64,2023,5,<5,<5
34007603901,EB,18-64,2024,5,<5,<5
34007603902,EB,18-64,2017,6,<5,<5
34007603902,EB,18-64,2018,<5,<5,<5
34007603902,EB,18-64,2019,6,<5,<5
34007603902,EB,18-64,2020,<5,<5,<5
34007603902,EB,18-64,2021,5,<5,<5
34007603902,EB,18-64,2022,<5,<5,<5
34007603902,EB,18-64,2023,<5,<5,<5
34007603902,EB,18-64,2024,6,5,<5
34007604100,EB,18-64,2017,8,7,<5
34007604100,EB,18-64,2018,10,7,5
34007604100,EB,18-64,2019,9,<5,6
34007604100,EB,18-64,2020,5,<5,<5
34007604100,EB,18-64,2021,8,5,<5
34007604100,EB,18-64,2022,11,8,5
34007604100,EB,18-64,2023,8,8,<5
34007604100,EB,18-64,2024,<5,<5,0
34007604200,EB,18-64,2017,11,7,6
34007604200,EB,18-64,2018,12,9,<5
34007604200,EB,18-64,2019,13,11,<5
34007604200,EB,18-64,2020,7,7,0
34007604200,EB,18-64,2021,8,7,<5
34007604200,EB,18-64,2022,<5,<5,<5
34007604200,EB,18-64,2023,11,10,<5
34007604200,EB,18-64,2024,<5,<5,0
34007604300,EB,18-64,2017,10,6,6
34007604300,EB,18-64,2018,9,7,<5
34007604300,EB,18-64,2019,10,7,<5
34007604300,EB,18-64,2020,<5,<5,0
34007604300,EB,18-64,2021,<5,<5,<5
34007604300,EB,18-64,2022,5,<5,<5
34007604300,EB,18-64,2023,<5,<5,<5
34007604300,EB,18-64,2024,5,<5,<5
34007604400,EB,18-64,2017,<5,<5,<5
34007604400,EB,18-64,2018,6,<5,<5
34007604400,EB,18-64,2019,6,5,<5
34007604400,EB,18-64,2020,<5,<5,<5
34007604400,EB,18-64,2021,<5,0,<5
34007604400,EB,18-64,2022,5,<5,<5
34007604400,EB,18-64,2023,<5,<5,<5
34007604400,EB,18-64,2024,7,6,<5
34007604600,EB,18-64,2017,<5,<5,0
34007604600,EB,18-64,2018,<5,<5,<5
34007604600,EB,18-64,2019,5,5,<5
34007604600,EB,18-64,2020,<5,<5,<5
34007604600,EB,18-64,2021,6,<5,<5
34007604600,EB,18-64,2022,<5,<5,0
34007604600,EB,18-64,2023,5,<5,<5
34007604600,EB,18-64,2024,<5,<5,<5
34007604700,EB,18-64,2017,<5,<5,<5
34007604700,EB,18-64,2018,<5,<5,0
34007604700,EB,18-64,2019,<5,<5,<5
34007604700,EB,18-64,2020,<5,<5,<5
34007604700,EB,18-64,2021,<5,0,<5
34007604700,EB,18-64,2022,<5,<5,<5
34007604700,EB,18-64,2023,<5,<5,<5
34007604700,EB,18-64,2024,<5,0,<5
34007605100,EB,18-64,2017,<5,<5,0
34007605100,EB,18-64,2018,<5,<5,<5
34007605100,EB,18-64,2019,<5,<5,0
34007605100,EB,18-64,2020,<5,<5,<5
34007605100,EB,18-64,2021,<5,<5,0
34007605100,EB,18-64,2022,<5,<5,<5
34007605100,EB,18-64,2023,6,5,<5
34007605100,EB,18-64,2024,7,<5,<5
34007605200,EB,18-64,2017,<5,<5,0
34007605200,EB,18-64,2018,<5,<5,<5
34007605200,EB,18-64,2019,<5,<5,<5
34007605200,EB,18-64,2020,5,<5,<5
34007605200,EB,18-64,2021,<5,<5,<5
34007605200,EB,18-64,2022,<5,<5,0
34007605200,EB,18-64,2023,<5,<5,0
34007605200,EB,18-64,2024,6,<5,5
34007605300,EB,18-64,2017,5,<5,<5
